"last_name, first_name",player_id,year,player_age,pa,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,woba,avg_swing_speed,avg_swing_length,attack_angle,attack_direction,vertical_swing_path,exit_velocity_avg,barrel_batted_rate,hard_hit_percent,avg_best_speed,iz_contact_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,sprint_speed
"Heineman, Tyler",623168,2025,34,51,19.6,3.9,0.396,0.542,0.412,0.954,0.412,65.5,7.0,7.9,-12.8,27.8,85.0,5.1,28.2,96.700957895,86.9,58.6,46.2,30.8,23.1,26.1
"Hoerner, Nico",663538,2024,27,641,10.3,6.9,0.273,0.373,0.335,0.708,0.313,68.2,7.1,4.9,-1.4,32.7,85.7,1.2,27.6,95.980926525,92.7,48.4,33.3,37.4,29.3,28.4
"Alvarez, Yordan",670541,2024,27,635,15.0,10.9,0.308,0.567,0.392,0.959,0.402,76.5,7.6,8.8,-6.0,35.1,93.1,14.5,49.7,104.097105087,88.5,47.8,36.4,38.4,25.2,26.1
"Altuve, Jose",514888,2024,34,682,17.4,6.9,0.295,0.439,0.35,0.789,0.344,69.4,7.8,16.5,-4.1,30.2,86.5,6.5,31.2,97.323672581,86.5,51.5,51.3,34.6,14.1,27.1
"Thomas, Alek",677950,2024,24,103,16.5,6.8,0.189,0.358,0.245,0.603,0.262,70.9,7.1,10.8,-0.3,29.2,91.2,7.6,46.8,101.335202632,83.1,49.2,44.3,35.4,20.3,27.8
"Garcia, Maikel",672580,2024,24,626,16.5,6.7,0.231,0.332,0.281,0.613,0.27,70.8,7.2,4.6,4.6,28.3,90.4,3.7,42.8,100.050927426,88.5,43.4,29.7,41.2,29.1,27.9
"Peralta, David",444482,2023,35,422,17.1,4.7,0.259,0.381,0.294,0.675,0.29,72.1,7.3,5.2,-1.7,31.8,89.3,4.9,44.2,100.838135399,84.7,54.5,38.4,35.7,25.9,27.0
"Correa, Carlos",621043,2023,28,580,22.6,10.2,0.23,0.399,0.312,0.711,0.309,74.8,7.3,9.0,-1.4,33.3,90.4,9.6,45.9,102.481230628,83.4,43.6,35.5,37.3,27.2,26.6
"Reyes, Pablo",622569,2023,29,185,11.4,7.6,0.287,0.377,0.339,0.716,0.315,69.5,7.2,9.7,-1.1,28.3,88.1,4.0,36.0,98.745577123,87.7,41.7,40.0,40.0,20.0,27.9
"Jones, Jahmai",663330,2023,25,11,45.5,9.1,0.2,0.3,0.273,0.573,0.257,72.4,7.3,12.2,3.1,31.2,98.7,20.0,80.0,103.568013333,73.7,46.9,80.0,20.0,0.0,
"Luciano, Marco",682617,2024,22,81,34.6,6.2,0.211,0.303,0.259,0.562,0.248,73.7,7.1,7.7,1.0,32.7,87.9,6.3,45.8,100.643494583,78.9,41.8,18.8,43.8,37.5,27.5
"Clement, Ernie",676391,2025,29,171,14.0,5.8,0.245,0.31,0.292,0.602,0.27,66.7,7.1,12.6,-3.1,32.3,86.8,2.2,23.5,95.438809552,91.3,53.4,39.0,36.8,24.3,28.4
"Frelick, Sal",686217,2025,25,209,12.0,8.1,0.294,0.401,0.362,0.763,0.341,67.9,7.0,8.3,-1.5,28.9,86.5,3.1,30.7,96.605136582,90.0,42.6,41.1,34.4,24.5,28.9
"Pinto, René",650907,2024,27,49,36.7,8.2,0.214,0.429,0.292,0.721,0.31,74.6,7.5,9.7,-3.0,31.1,93.7,19.2,61.5,101.410450769,64.1,49.7,26.9,23.1,50.0,24.6
"Muncy, Max",571970,2025,34,203,24.6,14.8,0.211,0.343,0.335,0.678,0.309,71.5,7.1,18.5,-4.8,34.7,90.4,10.8,50.8,101.526730833,82.8,43.4,48.3,35.0,16.7,27.2
"Aranda, Jonathan",666018,2025,27,189,24.9,10.6,0.315,0.503,0.397,0.9,0.394,70.0,7.3,9.3,4.5,36.1,92.9,11.8,55.5,102.936662203,76.8,47.1,37.8,37.0,25.2,25.8
"Norby, Connor",681393,2025,25,135,28.9,3.7,0.276,0.425,0.319,0.744,0.327,69.9,7.0,19.0,4.0,40.1,88.6,10.2,42.0,99.773233636,82.1,56.0,40.9,36.4,22.7,28.9
