"last_name, first_name",team
"Heineman, Tyler",Toronto
"Hoerner, Nico",Chicago
"Alvarez, Yordan",Houston
"Altuve, Jose",Houston
"Thomas, Alek",Arizona
"Garcia, Maikel",Kansas City
"Peralta, David",Free
"Correa, Carlos",Minnesota
"Reyes, Pablo",Boston
"Jones, Jahmai",Milwaukee
"Luciano, Marco",San Francisco
"Clement, Ernie",Toronto
"Frelick, Sal",Milwaukee
"Pinto, René",Tampa Bay
"Muncy, Max",Los Angeles
"Aranda, Jonathan",Tampa Bay
"Norby, Connor",Miami
"Barnes, Austin",Los Angeles
"Fortes, Nick",Miami
"Barnhart, Tucker",Free
"Carpenter, Matt",San Diego
"Toglia, Michael",Colorado
"Dubón, Mauricio",Houston
"Stott, Bryson",Philadelphia
"Nevin, Tyler",Free
"Fletcher, Dominic",Charlotte
"Baddoo, Akil",Toledo
"Torres, Gleyber",Detroit
"Martínez, J.P.",Saraperos
"Yepez, Juan",Rochester
"Vilade, Ryan",St.Louis
"Pratto, Nick",Omaha
"Ramírez, Harold",Tampa Bay
"Baldwin, Brooks",Chicago
"Freeman, Freddie",Los Angeles
"Santander, Anthony",Baltimore
"Miranda, Jose",Minnesota
"Frazier, Clint",Texas
"Elko, Tim",Chicago
"Stanton, Giancarlo",New York
"Hicks, Aaron",Free
"Busch, Michael",Los Angeles
"Ward, Taylor",Los Angeles
"McKenna, Ryan",Baltimore
"Rosario, Eddie",Free
"Gurriel Jr., Yuli",Free
"Sanoja, Javier",Miami
"Caratini, Victor",Milwaukee
"Carlson, Dylan",St.Louis
"Rojas, Josh",Seattle
"Henderson, Gunnar",Baltimore
"Capra, Vinny",Toronto
"Trout, Mike",Los Angeles
"Ornelas, Jonathan",Texas
"Raley, Luke",Tampa Bay
"Miller, Brad",Texas
"Jeffers, Ryan",Minnesota
"Wisely, Brett",San Francisco
"Crews, Dylan",Washington
"Villar, David",Free
"Maldonado, Martín",San Diego
"Thompson, Trayce",Boston
"Azocar, José",Free
"Torrens, Luis",New York
"Bauers, Jake",Milwaukee
"Thaiss, Matt",Tampa Bay
"Locklear, Tyler",Tacoma
"Dingler, Dillon",Detroit
"Perkins, Blake",Milwaukee
"Chapman, Matt",Toronto
"Moniak, Mickey",Los Angeles
"Duran, Jarren",Boston
"Rogers, Jake",Detroit
"Mead, Curtis",Tampa Bay
"Peña, Jeremy",Houston
"Frazier, Adam",Kansas City
"Tellez, Rowdy",Milwaukee
"Florial, Estevan",New York
"Paris, Kyren",Los Angeles
"Hassell III, Robert",Washington
"Duffy, Matt",Kansas City
"Haniger, Mitch",San Francisco
"Walls, Taylor",Tampa Bay
"Turang, Brice",Milwaukee
"Langeliers, Shea",Oakland
"Horwitz, Spencer",Toronto
"Suwinski, Jack",Pittsburgh
"Stevenson, Andrew",Minnesota
"McKinney, Billy",New York
"Profar, Jurickson",San Diego
"McCoy, Mason",Toronto
"Hill, Derek",Washington
"Sanó, Miguel",Free
"Garver, Mitch",Texas
"Castro, Rodolfo",Pittsburgh
"DeJong, Paul",Chicago
"Monasterio, Andruw",Milwaukee
"DeLoach, Zach",Seattle
"Call, Alex",Washington
"Wallner, Matt",Minnesota
"Solak, Nick",Atlanta
"Shewmake, Braden",Atlanta
"Tromp, Chadwick",San Francisco
"Machado, Manny",San Diego
"White, Eli",Atlanta
"Wendzel, Davis",Louisville
"Canzone, Dominic",Tacoma
"Hurtubise, Jacob",Louisville
"Davis, J.D.",Los Angeles
"Vázquez, Christian",Minnesota
"Lee, Brooks",Minnesota
"Guillorme, Luis",Sugar
"Walton, Donovan",Free
"Matos, Luis",San Francisco
"Lewis, Royce",Minnesota
"Bell, Josh",Miami
"Bellinger, Cody",New York
"Brennan, Will",Cleveland
"Mayo, Coby",Baltimore
"Turner, Justin",Free
"Carroll, Corbin",Arizona
"Smith, Dominic",Tampa Bay
"Paredes, Isaac",Tampa Bay
"Belt, Brandon",Free
"Hopkins, TJ",Louisville
"Maton, Nick",Toledo
"Canario, Alexander",Iowa
"Ohtani, Shohei",Los Angeles
"Helman, Michael",St. Paul
"Locastro, Tim",Syracuse
"Hampson, Garrett",Kansas City
"Lockridge, Brandon",Scranton/Wilkes-Barre
"Franco, Wander",Tampa Bay
"Larnach, Trevor",Minnesota
"Riley, Austin",Atlanta
"Soler, Jorge",San Francisco
"Andrus, Elvis",Free
"Pauley, Graham",San Diego
"Mountcastle, Ryan",Baltimore
"Giménez, Andrés",Cleveland
"Mateo, Jorge",Baltimore
"Winn, Masyn",St.Louis
"Díaz, Yandy",Tampa Bay
"Acuña Jr., Ronald",Atlanta
"Vargas, Miguel",Kansas City
"Gray, Tristan",Durham
"Bader, Harrison",New York
